Rank,City,Apartment,(3 bedrooms),in City Centre
1,"San Francisco, CA, United States",7542
2,"New York, NY, United States",6408.52
3,"Hamilton, Bermuda",5962.5
4,"Brooklyn, NY, United States",4980
5,"Oakland, CA, United States",4606.25
6,"Berkeley, CA, United States",4431.25
7,"Los Angeles, CA, United States",4304.7
8,"Washington, DC, United States",4294.38
9,"Boston, MA, United States",4293.88
10,"Queens, NY, United States",4083.33
11,"San Jose, CA, United States",4070.32
12,"Seattle, WA, United States",3894.83
13,"Jersey City, NJ, United States",3814.59
14,"San Diego, CA, United States",3698.45
15,"Miami, FL, United States",3688.79
16,"Chicago, IL, United States",3638.56
17,"Fremont, CA, United States",3612.5
18,"Irvine, CA, United States",3537.4
19,"Honolulu, HI, United States",3506.59
20,"Bellevue, WA, United States",3387.5
21,"Austin, TX, United States",3364.81
22,"Ann Arbor, MI, United States",3357.14
23,"Boulder, CO, United States",3312.5
24,"North Vancouver, Canada",3136.13
25,"Dallas, TX, United States",3077.51
26,"Fort Lauderdale, FL, United States",2982.46
27,"Long Beach, CA, United States",2930.77
28,"Atlanta, GA, United States",2867.37
29,"Nashville, TN, United States",2860.47
30,"Vancouver, Canada",2839.2
31,"Denver, CO, United States",2828.48
32,"Philadelphia, PA, United States",2813.62
33,"Santa Rosa, CA, United States",2800
34,"Toronto, Canada",2786.64
35,"Charlotte, NC, United States",2784.26
36,"Charleston, SC, United States",2720.83
37,"Portland, OR, United States",2704.63
38,"Burnaby, Canada",2656.62
39,"Sacramento, CA, United States",2645.24
40,"Coquitlam, Canada",2493.77
41,"Houston, TX, United States",2466.95
42,"Saint Paul, MN, United States",2461.11
43,"Minneapolis, MN, United States",2455.77
44,"Sarasota, FL, United States",2405.56
45,"Fort Collins, CO, United States",2362.5
46,"Surrey, Canada",2347.45
47,"New Orleans, LA, United States",2332.35
48,"Victoria, Canada",2325.43
49,"Everett, WA, United States",2312.5
50,"Detroit, MI, United States",2306.25
51,"Cincinnati, OH, United States",2304.55
52,"Baltimore, MD, United States",2291.67
53,"Mississauga, Canada",2288.18
54,"Cleveland, OH, United States",2286.11
55,"Tampa, FL, United States",2281.59
56,"Markham, Canada",2209.32
57,"Ottawa, Canada",2190.49
58,"Reno, NV, United States",2184.62
59,"Tacoma, WA, United States",2173.57
60,"Olympia, WA, United States",2162.5
61,"Milwaukee, WI, United States",2155.56
62,"Orlando, FL, United States",2143.62
63,"Vancouver, WA, United States",2112.5
64,"Pittsburgh, PA, United States",2073.88
65,"Phoenix, AZ, United States",2071.55
66,"San Antonio, TX, United States",2071
67,"Brampton, Canada",2040.58
68,"Madison, WI, United States",2040
69,"Knoxville, TN, United States",2035.71
70,"Salt Lake City, UT, United States",2031.82
71,"Las Vegas, NV, United States",2028.22
72,"Chattanooga, TN, United States",2022.22
73,"Richmond, VA, United States",2014.25
74,"West Palm Beach, FL, United States",2013.33
75,"Raleigh, NC, United States",1991.1
76,"Boise, ID, United States",1956.79
77,"Saint Louis, MO, United States",1951.92
78,"Halifax, Canada",1949.27
79,"Henderson, NV, United States",1928.38
80,"Grand Rapids, MI, United States",1904.29
81,"Kelowna, Canada",1901.9
82,"Eugene, OR, United States",1877.27
83,"Anchorage, AK, United States",1875
84,"Louisville, KY, United States",1862.42
85,"Colorado Springs, CO, United States",1860.44
86,"Huntsville, AL, United States",1783.33
87,"Salem, OR, United States",1781.25
88,"London, Canada",1772.04
89,"Columbus, OH, United States",1770.3
90,"Montreal, Canada",1766.38
91,"Calgary, Canada",1763.63
92,"Kingston, Canada",1743.41
93,"Jacksonville, FL, United States",1733.98
94,"Spokane, WA, United States",1720.57
95,"Oklahoma City, OK, United States",1665.38
96,"Fort Worth, TX, United States",1663.33
97,"Guelph, Canada",1661.03
98,"Baton Rouge, LA, United States",1642.78
99,"Fresno, CA, United States",1641.42
100,"Albany, NY, United States",1631.25
101,"Omaha, NE, United States",1629.17
102,"Hamilton, Canada",1617.28
103,"Des Moines, IA, United States",1612.57
104,"Nanaimo, BC, Canada",1593.89
105,"Tulsa, OK, United States",1588.89
106,"Buffalo, NY, United States",1587.5
107,"Kitchener, Canada",1579.93
108,"Indianapolis, IN, United States",1579.54
109,"Kansas City, MO, United States",1544.74
110,"Birmingham, AL, United States",1537.96
111,"Memphis, TN, United States",1521.4
112,"Lexington, KY, United States",1462.5
113,"Tucson, AZ, United States",1462.5
114,"Regina, Canada",1446.16
115,"Albuquerque, NM, United States",1438.46
116,"Edmonton, Canada",1407.83
117,"Saskatoon, Canada",1384.53
118,"Little Rock, AR, United States",1381.25
119,"Rochester, NY, United States",1342.73
120,"Windsor, Canada",1304.77
121,"Wichita, KS, United States",1267.78
122,"Winnipeg, Canada",1241.69
123,"Fredericton, Canada",1237.98
124,"El Paso, TX, United States",1206
125,"Saint John's, Canada",1154.99
126,"Quebec City, Canada",1121.69
127,"Red Deer, Canada",1047.76
128,"Akron, OH, United States",1016.67
