Rank,City,Apartment,(1 bedroom),in City Centre
1,"San Francisco, CA, United States",3162.63
2,"New York, NY, United States",3089.42
3,"Brooklyn, NY, United States",2841.77
4,"Oakland, CA, United States",2783.95
5,"San Jose, CA, United States",2729.23
6,"Boston, MA, United States",2683.2
7,"Jersey City, NJ, United States",2680.47
8,"Hamilton, Bermuda",2662.5
9,"Berkeley, CA, United States",2585.71
10,"Queens, NY, United States",2556.25
11,"Fremont, CA, United States",2431.04
12,"Washington, DC, United States",2371.37
13,"Los Angeles, CA, United States",2258.48
14,"Irvine, CA, United States",2232.2
15,"San Diego, CA, United States",2223.8
16,"Seattle, WA, United States",2166.01
17,"Bellevue, WA, United States",2164.27
18,"Long Beach, CA, United States",1906.23
19,"Honolulu, HI, United States",1894.31
20,"Miami, FL, United States",1884.78
21,"Chicago, IL, United States",1872.31
22,"Fort Lauderdale, FL, United States",1800.28
23,"Austin, TX, United States",1799.33
24,"Charleston, SC, United States",1794.96
25,"North Vancouver, Canada",1773.47
26,"Nashville, TN, United States",1712.26
27,"Santa Rosa, CA, United States",1700
28,"Philadelphia, PA, United States",1672.84
29,"Boulder, CO, United States",1672.5
30,"Denver, CO, United States",1667.85
31,"West Palm Beach, FL, United States",1660.54
32,"Toronto, Canada",1626.36
33,"Vancouver, Canada",1613.71
34,"Baltimore, MD, United States",1608.76
35,"Sarasota, FL, United States",1575.94
36,"Charlotte, NC, United States",1552.5
37,"Atlanta, GA, United States",1550.38
38,"Portland, OR, United States",1544.87
39,"Markham, Canada",1539.68
40,"Tampa, FL, United States",1535.54
41,"Mississauga, Canada",1527.53
42,"Ann Arbor, MI, United States",1515
43,"Dallas, TX, United States",1500.38
44,"Sacramento, CA, United States",1471.62
45,"Coquitlam, Canada",1458.85
46,"Minneapolis, MN, United States",1443.34
47,"New Orleans, LA, United States",1442.39
48,"Tacoma, WA, United States",1436.89
49,"Detroit, MI, United States",1431.25
50,"Houston, TX, United States",1420.53
51,"Saint Paul, MN, United States",1411.12
52,"Fort Collins, CO, United States",1404.55
53,"Orlando, FL, United States",1370.02
54,"Raleigh, NC, United States",1360.05
55,"Brampton, Canada",1355.03
56,"Vancouver, WA, United States",1347.22
57,"Cincinnati, OH, United States",1342.38
58,"Burnaby, Canada",1339.29
59,"Cleveland, OH, United States",1327.47
60,"San Antonio, TX, United States",1312.1
61,"Victoria, Canada",1306.85
62,"Olympia, WA, United States",1306.25
63,"Everett, WA, United States",1304.73
64,"Pittsburgh, PA, United States",1304.5
65,"Surrey, Canada",1301.21
66,"Salt Lake City, UT, United States",1300.55
67,"Henderson, NV, United States",1297.35
68,"Reno, NV, United States",1297
69,"Boise, ID, United States",1288.47
70,"Ottawa, Canada",1279.43
71,"Phoenix, AZ, United States",1273.8
72,"Fort Worth, TX, United States",1247.88
73,"Indianapolis, IN, United States",1229
74,"Madison, WI, United States",1228.33
75,"Las Vegas, NV, United States",1199.39
76,"Colorado Springs, CO, United States",1195.58
77,"Grand Rapids, MI, United States",1188.19
78,"Jacksonville, FL, United States",1186.63
79,"Milwaukee, WI, United States",1178.86
80,"Chattanooga, TN, United States",1166.67
81,"Richmond, VA, United States",1162.54
82,"Albany, NY, United States",1162.5
83,"Columbus, OH, United States",1154.64
84,"Kansas City, MO, United States",1148.87
85,"Anchorage, AK, United States",1140.62
86,"Oklahoma City, OK, United States",1140.62
87,"Fresno, CA, United States",1136
88,"Guelph, Canada",1134.53
89,"Halifax, Canada",1131.29
90,"Kelowna, Canada",1119.33
91,"Kitchener, Canada",1115.13
92,"Knoxville, TN, United States",1104.55
93,"Saint Louis, MO, United States",1079.58
94,"Hamilton, Canada",1077.93
95,"Eugene, OR, United States",1075
96,"Baton Rouge, LA, United States",1070.97
97,"Salem, OR, United States",1068.18
98,"London, Canada",1050.48
99,"Louisville, KY, United States",1050.12
100,"Memphis, TN, United States",1036.69
101,"Montreal, Canada",1034.38
102,"Kingston, Canada",1024.07
103,"Huntsville, AL, United States",1005.56
104,"Des Moines, IA, United States",985.62
105,"Tulsa, OK, United States",973.12
106,"Calgary, Canada",966.95
107,"Rochester, NY, United States",963.63
108,"Birmingham, AL, United States",959.09
109,"Edmonton, Canada",938.42
110,"Buffalo, NY, United States",937.12
111,"Nanaimo, BC, Canada",935.26
112,"Saskatoon, Canada",929.07
113,"Omaha, NE, United States",918.44
114,"Spokane, WA, United States",900.27
115,"Windsor, Canada",838.56
116,"Lexington, KY, United States",834.63
117,"Winnipeg, Canada",826.81
118,"Fredericton, Canada",824.95
119,"Regina, Canada",819.46
120,"Albuquerque, NM, United States",812.62
121,"Little Rock, AR, United States",801.25
122,"Tucson, AZ, United States",783.91
123,"Wichita, KS, United States",761.11
124,"El Paso, TX, United States",721.82
125,"Red Deer, Canada",698.43
126,"Saint John's, Canada",689.35
127,"Quebec City, Canada",666.01
128,"Akron, OH, United States",628.57
