,"GEO_city,state",year,MWE,MWE_Occupation Type_code,MWE_Occupation Type,MWE_Skill Level,MWE_How Paid,cityid,cityname,stateabbrev,statename,statefips,lat,lon,city_pop2019
0,"Albuquerque, NM",2019,52.28,110000,Management occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
1,"Albuquerque, NM",2019,32.76,130000,Business and financial operations occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
2,"Albuquerque, NM",2019,22.69,150000,Computer and mathematical occupations,Level 05,All workers,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
3,"Albuquerque, NM",2019,48.99,170000,Architecture and engineering occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
4,"Albuquerque, NM",2019,35.44,190000,"Life, physical, and social science occupations",All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
5,"Albuquerque, NM",2019,23.67,210000,Community and social service occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
6,"Albuquerque, NM",2019,45.04,230000,Legal occupations,Level 11,All workers,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
7,"Albuquerque, NM",2019,26.99,250000,Educational instruction and library occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
8,"Albuquerque, NM",2019,29.34,270000,"Arts, design, entertainment, sports, and media occupations",All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
9,"Albuquerque, NM",2019,41.97,290000,Healthcare practitioners and technical occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
10,"Albuquerque, NM",2019,14.69,310000,Healthcare support occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
11,"Albuquerque, NM",2019,20.77,330000,Protective service occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
12,"Albuquerque, NM",2019,11.94,350000,Food preparation and serving related occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
13,"Albuquerque, NM",2019,13.88,370000,Building and grounds cleaning and maintenance occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
14,"Albuquerque, NM",2019,15.42,390000,Personal care and service occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
15,"Albuquerque, NM",2019,22.29,410000,Sales and related occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
16,"Albuquerque, NM",2019,18.29,430000,Office and administrative support occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
17,"Albuquerque, NM",2019,21.11,470000,Construction and extraction occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
18,"Albuquerque, NM",2019,22.06,490000,"Installation, maintenance, and repair occupations",All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
19,"Albuquerque, NM",2019,19.70,510000,Production occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
20,"Albuquerque, NM",2019,18.29,530000,Transportation and material moving occupations,All levels,Full-time,32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
21,"Atlanta, GA",2019,61.38,110000,Management occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
22,"Atlanta, GA",2019,37.89,130000,Business and financial operations occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
23,"Atlanta, GA",2019,44.07,150000,Computer and mathematical occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
24,"Atlanta, GA",2019,41.44,170000,Architecture and engineering occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
25,"Atlanta, GA",2019,34.60,190000,"Life, physical, and social science occupations",All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
26,"Atlanta, GA",2019,25.02,210000,Community and social service occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
27,"Atlanta, GA",2019,50.76,230000,Legal occupations,All levels,Nonunion,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
28,"Atlanta, GA",2019,29.87,250000,Educational instruction and library occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
29,"Atlanta, GA",2019,30.59,270000,"Arts, design, entertainment, sports, and media occupations",All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
30,"Atlanta, GA",2019,16.31,290000,Healthcare practitioners and technical occupations,Level 04,All workers,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
31,"Atlanta, GA",2019,16.26,310000,Healthcare support occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
32,"Atlanta, GA",2019,20.94,330000,Protective service occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
33,"Atlanta, GA",2019,13.61,350000,Food preparation and serving related occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
34,"Atlanta, GA",2019,14.51,370000,Building and grounds cleaning and maintenance occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
35,"Atlanta, GA",2019,9.92,390000,Personal care and service occupations,Level 02,All workers,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
36,"Atlanta, GA",2019,26.04,410000,Sales and related occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
37,"Atlanta, GA",2019,20.05,430000,Office and administrative support occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
38,"Atlanta, GA",2019,22.33,470000,Construction and extraction occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
39,"Atlanta, GA",2019,24.55,490000,"Installation, maintenance, and repair occupations",All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
40,"Atlanta, GA",2019,18.14,510000,Production occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
41,"Atlanta, GA",2019,20.52,530000,Transportation and material moving occupations,All levels,Full-time,36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
42,"Austin, TX",2019,59.72,110000,Management occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
43,"Austin, TX",2019,36.55,130000,Business and financial operations occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
44,"Austin, TX",2019,43.90,150000,Computer and mathematical occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
45,"Austin, TX",2019,44.86,170000,Architecture and engineering occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
46,"Austin, TX",2019,33.42,190000,"Life, physical, and social science occupations",All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
47,"Austin, TX",2019,24.40,210000,Community and social service occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
48,"Austin, TX",2019,50.96,230000,Legal occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
49,"Austin, TX",2019,28.25,250000,Educational instruction and library occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
50,"Austin, TX",2019,31.00,270000,"Arts, design, entertainment, sports, and media occupations",All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
51,"Austin, TX",2019,40.15,290000,Healthcare practitioners and technical occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
52,"Austin, TX",2019,16.77,310000,Healthcare support occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
53,"Austin, TX",2019,25.57,330000,Protective service occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
54,"Austin, TX",2019,15.18,350000,Food preparation and serving related occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
55,"Austin, TX",2019,14.22,370000,Building and grounds cleaning and maintenance occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
56,"Austin, TX",2019,10.80,390000,Personal care and service occupations,Level 02,All workers,16,Austin,TX,Texas,48,30.27,-97.74,1273954
57,"Austin, TX",2019,27.16,410000,Sales and related occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
58,"Austin, TX",2019,20.04,430000,Office and administrative support occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
59,"Austin, TX",2019,21.58,470000,Construction and extraction occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
60,"Austin, TX",2019,22.88,490000,"Installation, maintenance, and repair occupations",All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
61,"Austin, TX",2019,18.62,510000,Production occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
62,"Austin, TX",2019,17.64,530000,Transportation and material moving occupations,All levels,Full-time,16,Austin,TX,Texas,48,30.27,-97.74,1273954
63,"Baltimore, MD",2019,61.60,110000,Management occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
64,"Baltimore, MD",2019,37.81,130000,Business and financial operations occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
65,"Baltimore, MD",2019,49.68,150000,Computer and mathematical occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
66,"Baltimore, MD",2019,45.27,170000,Architecture and engineering occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
67,"Baltimore, MD",2019,36.99,190000,"Life, physical, and social science occupations",Not able to be leveled,All workers,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
68,"Baltimore, MD",2019,26.63,210000,Community and social service occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
69,"Baltimore, MD",2019,65.85,230000,Legal occupations,Not able to be leveled,All workers,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
70,"Baltimore, MD",2019,18.99,250000,Educational instruction and library occupations,Level 04,All workers,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
71,"Baltimore, MD",2019,29.25,270000,"Arts, design, entertainment, sports, and media occupations",All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
72,"Baltimore, MD",2019,40.96,290000,Healthcare practitioners and technical occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
73,"Baltimore, MD",2019,16.91,310000,Healthcare support occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
74,"Baltimore, MD",2019,27.30,330000,Protective service occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
75,"Baltimore, MD",2019,14.26,350000,Food preparation and serving related occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
76,"Baltimore, MD",2019,15.86,370000,Building and grounds cleaning and maintenance occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
77,"Baltimore, MD",2019,17.41,390000,Personal care and service occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
78,"Baltimore, MD",2019,29.26,410000,Sales and related occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
79,"Baltimore, MD",2019,22.11,430000,Office and administrative support occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
80,"Baltimore, MD",2019,24.70,470000,Construction and extraction occupations,All levels,Full-time,23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
