City Name,Cost of 1 Bedroom Appartment,Cost of 3 Bedroom Appartment,Utilities Per Month,Total Cost for 1 BHK ,Total Cost of 3 BHK ,Average Cost of Living 
Albuquerque,812.62,1438.46,137.03,949.65,1575.49,1262.57
Atlanta,1550.38,2867.37,167.95,1718.33,3035.32,2376.82
Austin,1799.33,3364.81,143.46,1942.79,3508.27,2725.53
Baltimore,1608.76,2291.67,146.0,1754.76,2437.67,2096.22
Boise,1288.47,1956.79,148.66,1437.13,2105.45,1771.29
Boston,2683.2,4293.88,174.31,2857.51,4468.19,3662.85
Charlotte,1552.5,2784.26,151.29,1703.79,2935.55,2319.67
Chicago,1872.31,3638.56,150.39,2022.7,3788.95,2905.82
Cleveland,1327.47,2286.11,201.9,1529.37,2488.01,2008.69
Colorado Springs,1195.58,1860.44,124.06,1319.64,1984.5,1652.07
Columbus,1154.64,1770.3,185.9,1340.54,1956.2,1648.37
Dallas,1500.38,3077.51,156.38,1656.76,3233.89,2445.32
Denver,1667.85,2828.48,127.49,1795.34,2955.97,2375.65
Detroit,1431.25,2306.25,179.13,1610.38,2485.38,2047.88
El Paso,721.82,1206.0,165.22,887.04,1371.22,1129.13
Fort Worth,1247.88,1663.33,178.75,1426.63,1842.08,1634.36
Fresno,1136.0,1641.42,211.21,1347.21,1852.63,1599.92
Honolulu,1894.31,3506.59,266.07,2160.38,3772.66,2966.52
Houston,1420.53,2466.95,153.18,1573.71,2620.13,2096.92
Indianapolis,1229.0,1579.54,150.59,1379.59,1730.13,1554.86
Jacksonville,1186.63,1733.98,138.74,1325.37,1872.72,1599.04
Kansas City,1148.87,1544.74,182.04,1330.91,1726.78,1528.84
Las Vegas,1199.39,2028.22,164.48,1363.87,2192.7,1778.28
Los Angeles,2258.48,4304.7,158.73,2417.21,4463.43,3440.32
Louisville,1050.12,1862.42,142.25,1192.37,2004.67,1598.52
Memphis,1036.69,1521.4,156.37,1193.06,1677.77,1435.42
Miami,1884.78,3688.79,146.33,2031.11,3835.12,2933.12
Milwaukee,1178.86,2155.56,137.49,1316.35,2293.05,1804.7
Minneapolis,1443.34,2455.77,165.47,1608.81,2621.24,2115.02
Nashville,1712.26,2860.47,172.18,1884.44,3032.65,2458.54
New Orleans,1442.39,2332.35,186.61,1629.0,2518.96,2073.98
New York City,3089.42,6408.52,167.37,3256.79,6575.89,4916.34
Oakland,2783.95,4606.25,207.87,2991.82,4814.12,3902.97
Oklahoma City,1140.62,1665.38,146.87,1287.49,1812.25,1549.87
Omaha,918.44,1629.17,169.95,1088.39,1799.12,1443.76
Philadelphia,1672.84,2813.62,150.32,1823.16,2963.94,2393.55
Phoenix,1273.8,2071.55,169.38,1443.18,2240.93,1842.05
Portland,1544.87,2704.63,188.06,1732.93,2892.69,2312.81
Raleigh,1360.05,1991.1,137.9,1497.95,2129.0,1813.48
Sacramento,1471.62,2645.24,166.19,1637.81,2811.43,2224.62
Salt Lake City,1300.55,2031.82,135.17,1435.72,2166.99,1801.36
San Antonio,1312.1,2071.0,161.6,1473.7,2232.6,1853.15
San Diego,2223.8,3698.45,136.83,2360.63,3835.28,3097.96
San Francisco,3162.63,7542.0,166.25,3328.88,7708.25,5518.56
San Jose,2729.23,4070.32,130.48,2859.71,4200.8,3530.26
Seattle,2166.01,3894.83,203.37,2369.38,4098.2,3233.79
Tampa,1535.54,2281.59,160.47,1696.01,2442.06,2069.04
Tucson,783.91,1462.5,228.82,1012.73,1691.32,1352.02
Tulsa,973.12,1588.89,186.02,1159.14,1774.91,1467.02
Washington,2371.37,4294.38,152.52,2523.89,4446.9,3485.39
Wichita,761.11,1267.78,207.47,968.58,1475.25,1221.92
