cityid,cityname,stateabbrev,lat,lon,city_pop2019,year,month,day,merchants_all,Merchants Difference,Difference plus 1,new_case_rate
1,Los Angeles,CA,34.05,-118.24,10039107,2021,2,22,-0.33299999999999996,0.02900000000000008,102.90000000000002,18.6
2,New York City,NY,40.71,-74.01,8336817,2021,2,22,-0.42,-0.02100000000000002,97.89999999999999,49.3
3,Chicago,IL,41.88,-87.63,5150233,2021,2,22,-0.396,-0.03899999999999998,96.10000000000001,11
4,Houston,TX,29.76,-95.37,4713325,2021,2,22,-0.5670000000000001,-0.24000000000000005,76.0,14.5
5,Phoenix,AZ,33.45,-112.07,4485414,2021,2,22,-0.293,0.0020000000000000018,100.2,22.1
6,San Diego,CA,32.72,-117.16,3338330,2021,2,22,-0.361,0.028000000000000025,102.8,21.8
7,Dallas,TX,32.78,-96.8,2635516,2021,2,22,-0.525,-0.271,72.89999999999999,13.7
8,Las Vegas,NV,36.17,-115.14,2266715,2021,2,22,-0.284,0.0030000000000000027,100.30000000000001,12.1
9,Seattle,WA,47.61,-122.33,2252782,2021,2,22,-0.259,0.04899999999999999,104.89999999999999,9.7
10,Fort Worth,TX,32.76,-97.33,2102515,2021,2,22,-0.524,-0.246,75.4,19.4
11,San Antonio,TX,29.42,-98.49,2003554,2021,2,22,-0.629,-0.252,74.8,42.4
12,San Jose,CA,37.34,-121.89,1927852,2021,2,22,-0.405,0.034999999999999976,103.49999999999999,12.3
13,Detroit,MI,42.33,-83.05,1749343,2021,2,22,-0.38,-0.022999999999999965,97.7,9.2
14,Philadelphia,PA,39.95,-75.17,1584064,2021,2,22,-0.359,-0.06299999999999994,93.7,21.8
15,Columbus,OH,39.96,-83.0,1316756,2021,2,22,-0.29100000000000004,-0.007000000000000062,99.29999999999998,15.9
16,Austin,TX,30.27,-97.74,1273954,2021,2,22,-0.639,-0.25100000000000006,74.89999999999999,7.49
17,Charlotte,NC,35.23,-80.84,1110356,2021,2,22,-0.27,-0.04600000000000004,95.39999999999999,26.5
18,Indianapolis,IN,39.77,-86.16,964582,2021,2,22,-0.35600000000000004,-0.05600000000000005,94.39999999999999,11
19,Jacksonville,FL,30.33,-81.66,957755,2021,2,22,-0.278,-0.0030000000000000027,99.7,21.8
20,Memphis,TN,35.15,-90.05,937166,2021,2,22,-0.564,-0.32799999999999996,67.2,8.63
21,San Francisco,CA,37.77,-122.42,881549,2021,2,22,-0.512,0.02300000000000002,102.30000000000001,8.38
22,El Paso,TX,31.78,-106.44,839238,2021,2,22,-0.254,0.016000000000000014,101.6,33.9
23,Baltimore,MD,39.29,-76.61,593490,2021,2,22,-0.371,-0.02200000000000002,97.8,9.68
24,Portland,OR,45.52,-122.68,812855,2021,2,22,-0.397,-0.009000000000000064,99.1,7.21
