cityid,Park Score
0,1,4.347368421052632
1,2,4.584999999999999
2,3,4.6764705882352935
3,4,4.529411764705882
4,5,4.424999999999999
5,6,4.457894736842105
6,7,4.499999999999999
7,8,4.3533333333333335
8,9,4.1066666666666665
9,10,4.444444444444445
10,11,4.1947368421052635
11,12,3.9421052631578952
12,13,4.4
13,14,4.459999999999999
14,15,4.51111111111111
15,16,4.221052631578948
16,17,4.335294117647059
17,18,4.4399999999999995
18,19,4.188888888888888
19,20,4.254999999999999
20,21,4.435
21,22,4.430000000000001
22,23,4.331578947368421
23,24,4.247058823529412
24,25,4.610526315789474
25,26,4.557142857142857
26,27,4.429411764705883
27,28,4.026666666666666
28,29,4.324999999999999
29,30,4.4941176470588236
30,31,4.2875000000000005
31,32,4.318181818181818
32,33,4.221052631578948
33,34,3.9857142857142853
34,35,4.455555555555556
35,36,4.41875
36,37,4.378947368421052
37,38,4.5125
38,39,4.594736842105263
39,40,4.3100000000000005
40,41,4.568421052631578
41,42,4.4350000000000005
42,43,4.3315789473684205
43,44,4.1
44,45,4.3999999999999995
45,46,4.194117647058824
46,47,4.141666666666667
47,48,4.089999999999999
48,49,4.699999999999998
49,50,4.205555555555556
50,51,4.478947368421053
51,52,4.372222222222223
52,53,4.194117647058824
